created_at,entry_id,field1,field2,field3
2022-12-07 10:29:32 UTC,100606,39.49,98.00,11.30
2022-12-07 10:39:36 UTC,100607,39.49,98.00,11.40
2022-12-07 10:49:40 UTC,100608,39.49,98.00,11.60
2022-12-07 10:59:44 UTC,100609,39.50,98.00,11.80
2022-12-07 11:09:48 UTC,100610,39.50,98.00,12.00
2022-12-07 11:19:53 UTC,100611,39.50,98.00,12.20
2022-12-07 11:29:57 UTC,100612,39.48,98.00,12.20
2022-12-07 11:40:01 UTC,100613,39.47,98.00,12.30
2022-12-07 11:50:05 UTC,100614,39.47,98.00,12.60
2022-12-07 12:00:10 UTC,100615,39.46,98.00,12.90
2022-12-07 12:10:14 UTC,100616,39.46,98.00,13.00
2022-12-07 12:20:18 UTC,100617,39.45,98.00,13.10
2022-12-07 12:30:22 UTC,100618,39.45,98.00,13.00
2022-12-07 12:40:26 UTC,100619,39.44,98.00,12.90
2022-12-07 12:50:31 UTC,100620,39.41,98.00,12.90
2022-12-07 13:00:35 UTC,100621,39.41,98.00,12.80
2022-12-07 13:10:39 UTC,100622,39.37,98.00,12.80
2022-12-07 13:20:43 UTC,100623,39.38,98.00,12.70
2022-12-07 13:30:47 UTC,100624,39.39,98.00,12.60
2022-12-07 13:40:52 UTC,100625,39.37,95.00,12.50
2022-12-07 13:50:56 UTC,100626,39.34,95.00,12.50
2022-12-07 14:01:00 UTC,100627,39.35,95.00,12.50
2022-12-07 14:11:04 UTC,100628,39.36,95.00,12.60
2022-12-07 14:21:08 UTC,100629,39.34,95.00,12.50
2022-12-07 14:31:13 UTC,100630,39.35,95.00,12.50
2022-12-07 14:41:17 UTC,100631,39.35,95.00,12.50
2022-12-07 14:51:21 UTC,100632,39.34,95.00,12.50
2022-12-07 15:01:25 UTC,100633,39.34,95.00,12.50
2022-12-07 15:11:29 UTC,100634,39.33,95.00,12.40
2022-12-07 15:21:34 UTC,100635,39.30,95.00,12.20
2022-12-07 15:31:38 UTC,100636,39.33,95.00,12.10
2022-12-07 15:41:42 UTC,100637,39.32,95.00,12.00
2022-12-07 15:51:46 UTC,100638,39.33,95.00,11.90
2022-12-07 16:01:50 UTC,100639,39.32,95.00,11.80
2022-12-07 16:11:55 UTC,100640,39.33,95.00,11.80
2022-12-07 16:21:59 UTC,100641,39.30,95.00,11.60
2022-12-07 16:32:03 UTC,100642,39.28,95.00,11.50
2022-12-07 16:42:07 UTC,100643,39.27,95.00,11.50
2022-12-07 16:52:11 UTC,100644,39.27,95.00,11.50
2022-12-07 17:02:16 UTC,100645,39.28,95.00,11.40
2022-12-07 17:12:20 UTC,100646,39.25,95.00,11.20
2022-12-07 17:22:24 UTC,100647,39.23,95.00,11.10
2022-12-07 17:32:28 UTC,100648,39.22,95.00,11.10
2022-12-07 17:42:32 UTC,100649,39.23,95.00,11.20
2022-12-07 17:52:36 UTC,100650,39.23,95.00,11.10
2022-12-07 18:02:41 UTC,100651,39.24,95.00,11.20
2022-12-07 18:12:45 UTC,100652,39.25,95.00,11.10
2022-12-07 18:22:49 UTC,100653,39.24,95.00,11.10
2022-12-07 18:32:53 UTC,100654,39.21,95.00,11.10
2022-12-07 18:42:57 UTC,100655,39.21,95.00,11.10
2022-12-07 18:53:02 UTC,100656,39.23,95.00,11.20
2022-12-07 19:03:06 UTC,100657,39.24,95.00,11.20
2022-12-07 19:13:10 UTC,100658,39.25,95.00,11.40
2022-12-07 19:23:14 UTC,100659,39.25,95.00,11.80
2022-12-07 19:33:18 UTC,100660,39.25,95.00,12.30
2022-12-07 19:43:22 UTC,100661,39.25,98.00,12.30
2022-12-07 19:53:27 UTC,100662,39.22,98.00,12.40
2022-12-07 20:03:31 UTC,100663,39.24,98.00,12.30
2022-12-07 20:13:35 UTC,100664,39.26,98.00,12.10
2022-12-07 20:23:39 UTC,100665,39.24,98.00,11.90
2022-12-07 20:33:43 UTC,100666,39.22,98.00,11.70
2022-12-07 20:43:48 UTC,100667,39.24,98.00,11.60
2022-12-07 20:53:52 UTC,100668,39.22,98.00,11.50
2022-12-07 21:03:56 UTC,100669,39.23,98.00,11.40
2022-12-07 21:14:00 UTC,100670,39.23,98.00,11.30
2022-12-07 21:24:04 UTC,100671,39.22,98.00,11.30
2022-12-07 21:34:08 UTC,100672,39.22,98.00,11.20
2022-12-07 21:44:13 UTC,100673,39.21,98.00,11.10
2022-12-07 21:54:17 UTC,100674,39.19,98.00,11.10
2022-12-07 22:04:21 UTC,100675,39.17,98.00,11.10
2022-12-07 22:14:25 UTC,100676,39.17,95.00,11.00
2022-12-07 22:24:29 UTC,100677,39.17,95.00,11.10
2022-12-07 22:34:33 UTC,100678,39.19,95.00,11.00
2022-12-07 22:44:38 UTC,100679,39.20,95.00,11.00
2022-12-07 22:54:42 UTC,100680,39.23,95.00,11.10
2022-12-07 23:04:46 UTC,100681,39.28,95.00,11.10
2022-12-07 23:14:50 UTC,100682,39.32,95.00,11.10
2022-12-07 23:24:54 UTC,100683,39.38,95.00,11.20
2022-12-07 23:34:58 UTC,100684,39.42,95.00,11.20
2022-12-07 23:45:03 UTC,100685,39.44,95.00,11.20
2022-12-07 23:55:07 UTC,100686,39.48,95.00,11.20
2022-12-08 00:05:11 UTC,100687,39.51,95.00,11.10
2022-12-08 00:15:15 UTC,100688,39.57,95.00,11.10
2022-12-08 00:25:19 UTC,100689,39.62,95.00,11.20
2022-12-08 00:35:24 UTC,100690,39.65,95.00,11.10
2022-12-08 00:45:28 UTC,100691,39.67,95.00,11.10
2022-12-08 00:55:32 UTC,100692,39.69,95.00,11.10
2022-12-08 01:05:36 UTC,100693,39.70,95.00,11.00
2022-12-08 01:15:40 UTC,100694,39.70,95.00,10.90
2022-12-08 01:25:45 UTC,100695,39.71,95.00,10.90
2022-12-08 01:35:49 UTC,100696,39.72,95.00,10.90
2022-12-08 01:45:53 UTC,100697,39.73,95.00,11.00
2022-12-08 01:55:57 UTC,100698,39.77,95.00,11.00
2022-12-08 02:06:01 UTC,100699,39.80,95.00,11.00
2022-12-08 02:16:05 UTC,100700,39.83,95.00,10.90
2022-12-08 02:26:10 UTC,100701,39.88,95.00,10.90
2022-12-08 02:36:14 UTC,100702,39.96,95.00,10.90
2022-12-08 02:46:18 UTC,100703,39.98,95.00,10.90
2022-12-08 02:56:22 UTC,100704,40.00,95.00,10.90
2022-12-08 03:06:26 UTC,100705,40.01,95.00,10.90